titulo,texto

"Calendário JPB - Emlur começa a limpar escadaria do Cristo, em João Pessoa-7734891.wav",calendário JPB tem novidade para os moradores do Cristo Que costuma passar por uma escadaria que tem lá aí eu vou junto a turma tá fazendo uma faxina grande na área agora tem um puxão de orelha na comunidade também viu bora ver calendário JPB de volta à escadaria que fica no bairro do Cristo na Rua Industrial João Úrsulo rapaz é só serviço tá acontecendo a turma tá trabalhando com força botando a mão na massa para resolver o problema da comunidade Mariano trabalhou demais já dá um cansaço assim tão fácil me segurar aqui para terminar o direitinho Obrigado disse que o velho tá com a coluna lascada é melhor continuar mesmo valeu show de bola lavar a viagem mais outra viagem segure irmãozinho conta para a gente como é que tá sendo o serviço por aqui é o negócio Que demora que não é fala com a gente é demorado porque muito lixo muito areia a população deveria ter mais cuidado no que é dele né coloca muito lixo não vamos só prefeitura só um público que é muito trabalho tô aqui da comunidade né para botar lixo por aqui não sei que a gente sabe também que vende no meio da rua vai descendo né e mato que já vem da própria natureza Obrigado meu irmão bom trabalho para você aí para Turminha da Hilux que tá fazendo essa trabalho de limpeza aí é complicado você está pensando que é fácil é um menino trabalha muito rapaz Rosinaldo e Rosinaldo e Rosinaldo tá com sorriso no rosto mais animado que ver a escadaria limpa agora né que todo mundo tá animado e agradeceu o calendário JPB e a turma da Elo que compareceram no setor para fazer concluir a obra né Tudo bem Tudo bem graças a Deus já deu uma melhorada não foi não já Bem melhor agora né eles falaram que vai levar uns 15 dias né para concluir sair mas tá bem melhor graças a Deus né que era lixo com força na comadre muito lixo e tem lixo ainda pessoal não tem respeito né como ser humano né joga tudo que não presta aí não pode mais vai fazer o que com esse início de serviço a senhora já percebeu que diminuiu a presença daqueles animais indesejados de Rosinaldo de Dona Francisca de Lobinho a gente vai carimbar o calendário andando caminhando dia 11 Tá bom então dia 11 e o carimbo logo logo tem carimbo de Resolvido agora pessoal rola de jogar lixo na rua né

CALENDÁRIO JPB - Escola de Santa Rita passa por reforma mas quadra de esportes tá parada-7826377.wav,calendário JPB na seguinte voltou a Marcos Moura Santa Rita lá na escola foi toda reformada beleza mas a quadra de esporte meus amigos só vem que tá chegando o calendário é muita habilidade a bola no pé bola não coco seco até porque a gente tá numa quadra não tá no ginásio não pode dizer que tá né Marcos Moura Santa Rita mais uma vez visitando o que seria quadra de esportes gosta de jogar bola estuda aonde aqui do lado para vir para cá porque aqui era para ser a quadra da escola da escola porque não tem onde jogar e a gente joga no meio da rua mesmo seria bom mesmo que isso é que tivesse show de bola bacana mesmo para vocês jogarem né Maria não tem como mais Gabi mulher toda vez que a gente chega aqui aparece uma criança desenha legal né cheia de vida ou sabida inteligente e doido para praticar esporte votação energia para fora só não tenho espaço como vocês podem ver antes na reportagem anterior os meninos estavam na rua enfim e agora eles voltaram para a escola porque eles estavam sem aula desde o início do ano passado na escola mas Eles continuam seu espaço que faz com que eles é para ti que esporte cultura enfim aqui tá abandonado eles vão para casa cedo não tem prática de esporte na escola que eles tem aula e desse jeito a escola tá toda reformada tá massa demais para dar uma olhadinha no estudante todos elogiando disseram que antes estava complicado a situação por lá mas a quadra ficou desse jeito é o seguinte a situação da quadra hoje é a mesma uma da creche de tibiri Acorda vamos anteriormente e a creche de Uberlândia todas elas foram iniciadas pela gestão anterior com recursos Federais e o projeto de cada obra dessa foi feito de forma irregular motivo pelo qual as verbas devidas para cá foram bloqueadas e a prefeitura vem desde então tentando desbloquear e tentando fazer aquele que não cansa né que no caso seria a readequação da obra já passou para o escritório já escolheu nossa empresa para realizar o projeto da obra e semana que vem já estar aqui engenheira e equipe da nova empresa para readequar todo esse projeto enquanto não conseguimos desbloqueio da verba Federal para que todo mundo entenda a escola foi reformada Por que o recurso era outro era como se como se fosse duas obras diferentes e isso esses recursos próprios a escola foi reformada e a quadra foi feita com recursos do FNDE Federal como hoje o pessoal da prefeitura veio deu satisfação deu resposta segura aqui da vizinha em andamentos vai carimbar o danado a gente pode voltar aqui dia que dia que de agosto

Calendário JPB - morador faz trabalho da prefeitura em João Pessoa-7837335.wav,a gente começa essa semana com notícia boa no calendário JPB é um exemplo sensacional de cidadania se para prefeitura de João Pessoa muito complicado arrumar uma praça que já tinha inclusive um projeto lindo de reforma lá no Ernani Sátiro para esse rapaz aqui ó mostra o Jaílson nome dele só foi vontade realmente de transformar ele arregaçou as mangas e deu uma cara nova para Praça além de transformar Jailson faz questão de concientizar então o pessoal da prefeitura acompanha a reportagem Vamos aprender a comunidade ainda Precisa que o poder público cumpra seu papel das outras vezes que a gente veio tava tomado pelo Mato isso aqui agora não tá limpo tiraram Matos mas tá pensando que a prefeitura foi não viu a prova a comunidade se juntou para fazer isso aqui tirar o mate Colocaram tudo aqui ó para que a prefeitura pelo menos ver a se recolher ver ninguém tá aí a senhora mora aqui faz quanto tempo que vocês meses então quando a senhora chegou a senhora viu que isso aqui tava destruindo a Record fazendo nojo nojo sinceramente é a palavra que você definir e eu sempre vai passar meu Deus do céu porque não ajeita Só que apareceu no com os anjos para mim é anjo que fizeram essa maravilha enquanto tem pessoas que destroem tem outros que faz maravilha esses meninos estão de parabéns só tá ali para tirar eu espero que a prefeitura Venha tirar porque eu tenho um netinho de 2 anos ele gosta de brincar agora a gente pode passear por aqui ele vem brincar de ovo vovó coisa linda vovó depoimento de quem vive por aqui porque o cenário é esse agora que plaquinhas legais não jogue lixo jogue sementes a 35 e de plantio mais natureza e menos destruição das pessoas que começou a fazer esse trabalho aqui inclusive que mora aqui na comunidade foi o Jaílson rapaz tava me contando que passava por aqui todo dia eu olhava que é que senti quando vi tudo isso destruindo ou então né isso que você tá que você tá vendo aí a gente passava todo dia aqui era só mato só mato mato alto Entendeu todo mundo passava só reclamava do mato então a gente vender esse descaso aí da que a prefeitura mesmo Vem aqui tira uma foto só por cima a gente já tá tem horta tem planta medicinal entendeu a gente tá tentando fazer o melhor já já tem mãe aqui que vem aqui já traz a filhinha para plantar uma flor alguma coisa assim ou seja para mim se até uma uma forma de educado e concientizar aqui na frente tem uma creche pô as crianças todo dia vem para mim vem entra na creche Olha só mato agora não é totalmente diferente ela tem que ser mãe vamos ver aí vamos ver a horta vamos ver ali o pé de flor parabéns pelo exemplo você tá dando pelo trabalho que você tá fazendo aqui na comunidade

Calendário JPB - moradores de Oitizeiro reclamam de uma rua esburacada-7780021.wav,agora agora de calendário JPB hoje no bairro oitizeiro aqui na capital tem três anos já que a gente tá mostrando as dificuldades dos moradores de sair e chegar em casa foram 17 visitas mostrando isso mesmo assim até agora a Prefeitura da capital não deu nenhum cabimento a esse pessoal todo lado de 80 será que eles não merecem não vão mostrar mais uma vez aqui prefeitura O que é morar na Rua Napoleão Cristo em João Pessoa Olha a gente aqui de novo na Rua Napoleão Crispim no bairro oitizeiro e a situação tá do mesmo jeito eu vi que o senhor veio lá de baixo porque não desceu com carro furado demais né muito buraco o carro pode até ter algum problema aí né furou o pneu e achei melhor deixar aqui mesmo e vim andando de lá para cá ruim para quem visita para quem mora na buraqueira comadre me dê uma notícia boa notícia boa que você chegou mas não tô vendo nada feito aqui quando foi feito ninguém dá resposta de nada e aqui ó pessoa coloca de tudo quando tá vendo isso aqui amenizar a situação mas tá ocasionando um risco enorme aí de alguém se cortar porque você sabe que isso aí é cerâmica na cerâmica é pior do que faca para cortar vocês tão vendo como é que tá a situação o que tem que dá para colocar tá sendo colocado resto de construção material que sobra de reforma pouco e olha aqui na parte de baixo como é que tá nunca vai vir carro por aqui porque da situação que tá aí eles passa o trator o que é que acontece Sabe dizer que no braço senão o Aterro desce todinho vai-se embora das outras vezes a prefeitura tinha detergente o que que tinha todo uma programação cronograma que a rua tinha não tinha sido contemplada no orçamento desse ano aí esperar porque tinha que ver a prioridade meu amigo se certinho prioridade eu não sei o que é não Dessa vez Tem Resposta dela ainda então não resolvido resolveu foi nada segura para votar em outubro agora dia 2 de outubro uma data mais do que folgada para eles tomarem uma posição ou dá no mínimo uma resposta que seja verdadeiro e convergentes 2 de outubro a gente volta a Rua Napoleão Crispim para ver como é que tá a situação e eu espero de coração que esteja melhor aí eu perguntei eu mesmo respondo prefeitura os moradores da Rua Napoleão Crispim merecem sim atenção resposta e Respeito tá não é possível que em três anos uma rua continua do mesmo jeito com tanto apelo aqui três anos que o calendário acompanha e a gente não desiste vai continuar mostrando esse problema com data marcada já quem sabe

"Calendário JPB - Obra está em andamento, em Oitizeiro-7839911.wav",Bora de calendário JPB 1 edição de hoje posto de saúde da família de 80 aqui em João Pessoa a gente começou acompanhar esse caso Em janeiro deste ano a obra tava parada e agora tá andando com todo gás notícia boa demais para comunidade simbora calendário 2020 para saber se a construção do posto de saúde aqui do bairro tá andando não tá bom comadre Então trabalha aqui dentro não tá não entre sem permissão depois tem que ajeitar esse permissão faz o seguinte medição vê se tu consegue tirar esse serviço dele aqui botar dois ésses pronto aí ficou certinho bota eu posso entrar à vontade vou ver coisa boa até demais e o amor aumenta chega do serviço tem que ser assim tá fazendo mais não eu pensava que eu ia morrer não ia ver ia ver isso aqui terminando de verdade mesmo não é verdadeira eu tô muito feliz muito feliz mesmo a gente que cor né quando devia criticava a gente vai elogiar quando tem que elogiar exatamente Eles já fizeram essa rampa eu tô entrando hoje desde o dia que eu vim fazer a rampa calçada aqui não tinha iluminação Dentro os fio a fiação instalação tá toda feita Vou colocar o celular para nós fala que não tinha água energia o esgoto estão colocando muita coisa mudou mudou muita coisa não tem dois meses né eu vou lá dentro viu como é que tá falou que tá bonito show desse jeito tá tá assim Marcos Cardoso chega entrou a primeira afirma que uma parte a segunda vez meu dinheiro não fez nada aí essa terceira veio para fazer agora o senhor tá se abrindo na jaca tranquilidade Então vamos lá vamos marcar primeiro carimbar que tá em andamento agora o andamento de verdade a Passos largos e depois a gente marca a volta agora segura aí que a obra aqui ó do posto de saúde em oitizeiro tá em andamento em andamento de verdade ou coisa boa só Setembro a gente volta para ver um pouco mais da evolução dessa obra que tá bonito de ver que gosta de trabalhar aí tá certo valeu aí Prefeitura como diria Danilo amor aumenta né valeu valeu demais e como o Luciano também falou se é para criticar a gente critica se é para ela hoje a gente elogia não tem problema nenhum faz com maior prazer marca então dia 6 de setembro a gente volta para ver como tá essa obra a Prefeitura não disse mas deve ficar pronta rapidinho a gente diante mão já tá agradecendo aqui
