texto,classes_problema
quem está de volta agora com o calendário JPB hoje tem Missão Nova para nossa equipe uma praça abandonada no Ernani Sátiro aqui na capital Na verdade eu nem sei se a gente pode chamar de Praça sim viu Plínio Almeida foi até lá para conferir de um lado a Rua Abílio Paiva desse outro aqui a Auta de Luna Freire no bairro Ernani Sátiro E no meio tem algo que um dia já pode ser chamado de Praça mas do jeito que tá hoje com tudo quebrado esquecido abandonado mato lixo e sem condições nenhuma de uso Se tem uma coisa que isso aqui não é mais é uma praça os moradores dizem que faz mais ou menos uns 10 anos da última vez que alguém chegou aqui para fazer algum tipo de conserto manutenção nessa praça né Ficar Com certeza isso aqui assim eu eu eu tenho 41 anos aqui como ele tem como você já tá vendo aqui que as pessoas lhe darem a gente precisa de uma praça a gente precisa de um lazer a gente tem criança a gente precisa disso as crianças já se furaram aqui as crianças já pegaram o germe de cachorro aqui ali ó ferro enfiado para cavalo para animal aqui só serve para isso que não tem condições de andar eu mesmo vou fazer uma caminhada de Zezinho saiu daqui na rua aí rodeio e venho Quando estivesse pronto eu sou uma pracinha aqui tá certo é pequeno mas a gente aumentar o número de volta né Não só sou eu sou muito idosa que tem aqui temos a prefeitura ela tem aí uma creche em frente à praça das crianças aí vem para aí que eu já vi que ia subir aí e desceu aí pode se acidentar aí tudo rasgado tudo quebrado brincando do jeito que tá aí no jeito que tá aí criança vem amanhã à tarde para pegar porque tá vendo a hora que acidentado que a gente não pagamos também no nosso IPTU né não pagamos temos direito como colocar o outro cidadão exatamente nesse local aqui que tá cheio de mato tem Metralha também tem vários buracos era uma quadra não é isso Léo como era que antes antes de uma quadra de areia Aqui é onde a comunidade se divertir né Tem várias crianças aqui no bairro e a gente joga futebol a gente praticava vôlei não é isso para comunidade isso é muito importante queria que ele viesse reformar fazer uma quadra não colocaria novamente mas fazer uma quadra fazer um espaço que o pessoal fazer caminhada colocar ali os aparelhos para prática também de musculação isso que nós precisamos a gente que é o mesmo direito que as outros bairros tem que as outras praças tem dona Eronildes é uma das pessoas que mora aqui pertinho da praça e que tem muita vontade de fazer caminhada né mas nessas condições olha ali buraco não dá não tem não tem condições porque,outros(obras)
agora meio-dia 22 hora do calendário JPB e a gente está muito feliz ainda não é o resolvido mas falta pouco eu tô falando da construção de uma creche no bairro dos Bancários aqui na capital a inauguração estava prevista para 2014 aí passou 2014 2015 2016 e nada as mães e os pais não contaram conversa e chamaram o calendário JPB na nossa segunda visita a situação mudou muito olha que coisa mais linda eles estão aqui admirado a creche né Pois é então já bem ou nada né que a gente teve naquele dia já tá com cara de creche né aquele colorido que não tinha a frente me diz uma coisa se eu tava aqui da outra Face e tem um monte de criança em casa como é que se sente vendo que agora já ganhou uma cara de creche né Ainda bem né Graças a Deus a gente tá vendo aí que realmente eles cumpriram e eu esperar que já terminaram né Vamos esperar que a gente possa trazer o mais rápido possível as crianças da gente aumentar os trabalhadores a obra foi bem avançada que disse que tá 70% mas a gente viu que não né mas agora com pensamento tá 90% E é exatamente isso que a prefeitura disse antes de vir para cá eu entrei em contato com a Secretaria de Educação do município e eles me disseram que essa obra aqui tá em 90% o que tá faltando o segundo eles é um acabamento algumas instalações hidráulicas e a Clara a calçada né porque a calçada não pode ficar assim para que as mães possam caminhar as crianças possam entrar aqui com segurança Então tá faltando muito pouco e a previsão da construtora é que esta obra Fique pronta no fim desse mês então tá muito pertinho chega para cá gente que a gente vai marcar as datas todas no calendário Por que a gente tem que vir aqui conferir o sonho de vocês realizar um sonho bem realizado tanto para mim quanto para ela para todas as mães que vocês viram essa obra parada muito tempo né esse exatamente tava muito tempo parado e a gente agora tá feliz né Tá vendo que tá andando hoje na primeira volta do calendário JPB a gente vai ter um carimbo aqui em andamento certo mas eu vou dizer um negócio é um carinho de andar mesmo com gostinho de Resolvido viu a obra voltou e voltou com força total agora a gente vai marcar,outros(obras)
é hora do calendário Olha só recebi uma correspondência chamar a polícia o SAMU pedir uma pizza não são tarefas fáceis para quem mora no conjunto Colinas do Sol no bairro das Malvinas é que as ruas não têm nome aí fica complicado né Laisa grisi foi lá conversar com os moradores e hoje é dia de calendário JPB e a gente receber um chamado muito especial do pessoal Olha só do conjunto Colinas do Sol bairro das Malvinas sendo que a gente passou uns 10 minutos rodando aqui sem conseguir achar a rua porque a única referência que a gente tinha era assim ó quadra K Lote 10 Quadra k Lote 10 viu Nossa assistente motorista Rodotrem mais o carro não foi Gil foi um pouquinho viu aí você escutou quando o pessoal gritou pessoal gritou né se não tinha passado Então vamos falar com o pessoal minha gente porque se vocês não tivesse gritado a gente ia passar direto aqui Como assim quadra K Lote 10 quem acha esse endereço é difícil de encontrar correspondência a gente não tem vai completar três anos que a gente recebeu esse conjunto nós não temos nome de rua nós não temos transporte urbano nós não temos uma pracinha nós não temos posto de saúde a situação é precária mesmo de você ligou para gente né chamou o calendário Por que a principal dificuldade são essas ruas não têm nome e aí não recebe correspondência para dizer assim um ponto de referência fica difícil vai receber uma visita faz como a gente fica o DETRAN Rua da conta porque tem uma Kombi na rua vai para rua né tem que esperar na rua nessa rua quem acha tem que esperar na rua vocês já já falaram foram atrás vocês sabem quem procurar Não não vou dizer que a gente não procurou sobre o endereço não porque a gente não sabe quem procurar só um minutinho agora você eu procurei eu fui na serra me disseram que depois que foi entregue Não tem nada a ver com isso com essa é a pino é aí falaram na prefeitura eu fui na prefeitura diz que o responsável não tava no dia isso aqui foi o que um ano atrás acho um ano atrás depois disso eu não procurei mais vocês não sabem nem aqui recorrer a quem recorrer não sabemos que já tem 3 anos que vocês não venham carteira aí a gente sabe que existe mas aqui não nunca viram mas a gente é essa a gente olhar as correspondências não vem para aqui a gente só tem água e luz porque tem que pagar então direito né é divisa na hora a leitura não faz na hora leitura então se for conta para pagar olha a conta da Cagepa e a conta da Energisa chegam nas casas agora vem aqui ó Rua Projetada 100 o nome da rua Se for para receber uma correspondência para ficar mais garantido,ruas
os moradores do Esplanada procurar um calendário JPB para ajudar a resolver uma situação que tava trazendo prejuízo para o bolso e colocando em risco a vida dos moradores gente buraco para todo lado numa via importante no bairro foram 4 visitas e agora a situação é eu vou começar esse calendário JPB de hoje pedindo para mostrar algumas imagens de fotos que foram feitas pelos moradores aqui do Esplanada que mostram que o nosso pedido feito na última reportagem foi atendido a secretaria de infraestrutura esteve aqui na rua e fez a operação tapa-buraco nas duas extremidades na ponta de lá e na ponta de cá porque o serviço aqui no meio já tinha sido feito agora se esse calendário vai ser resolvido hoje ou não é uma decisão da comunidade eu vou explicar porque quando a gente lembra como era essa rua antes do calendário chegar aqui e quando a gente vê como ela está Hoje a diferença é muito grande por que os carros mal conseguiam passar por aqui e hoje a gente tá vendo que eles estão trafegando com uma facilidade que toda Rua deve ter né então isso acredito que já dá um alívio no seu coração e você conseguiu juntamente com seus companheiros aqui da comunidade melhorar um pouquinho a vida de quem passa por essa rua amenizou porque a gente não consiga circular apesar dos buracos que ainda persistem ao meu ver a prefeitura executar um serviço mas não tem fiscalização eles fizeram Esse recapeamento já está sendo reaberto quando eles fizeram Esse herói essa é a primeira capa nós iremos fazer outra e em seguida iremos pintar as faixas para dividir a rua e não fizeram algumas partes ficou bom mas só faltou esse pode prejudicar de novo que ela também para ter uma faixa de pedestre a presença no passado Nossa Senhora ia sendo atropelado ali não foi porque o rapaz ele gritou mas era para ter uma faixa ali aquela história que melhorou agora essa rua continua Precisando de atenção das autoridades É isso aí é com você pediu a Prefeitura de certa forma atendeu porque mandou recapear esse trecho fez a operação tapa-buraco ali no final mas para definir se para você está resolvido ou não essa é uma decisão da comunidade como vocês viram conosco problema é nova pois são poucas coisas pontuais mas é melhorou bastante a gente agradece a atenção de vocês da Imprensa que estiveram conosco se não fosse vocês aqui não tinha saído quando necessário,ruas
gente calendário JPB na área agora a gente voltou ao dizer Alguns chamam de Cruz das Almas também naquela região ali tem uma unidade básica de saúde por lá que está sendo construída a obra parou o povo reclamou E a equipe do calendário chegou junto Desde janeiro depois de algumas visitas tem obra andando por lá para ver a gente tá na obra da unidade básica de saúde 380 aqui entre o dizer e Cruz das Armas você tá vendo ali a placa faz tempo que o negócio tinha parado a gente tava triste Tava choco a comunidade cobrando mas agora meu coração até palpitou de alegria quando a gente chega no lugar e o negócio está cozinhando o feijão eu não acredito não foi na feira pagamento calendário JPB é trabalho não vejo aqui na calçada aí vocês vieram de três semanas para liberar o hospital aí né o morador deixar tudo em ordem mesmo show de bola Obrigado meu irmão bom serviço aí pode continuar primeira divisão e aí o que é que estão preparando Tô preparando tudo aqui para continuar a obra aqui vocês lembram por aqui o que é de Matos era brincadeira não pessoal já fez a limpeza do mato todinho de bicho aqui não é brincadeira cobra rato barata você imaginasse corpo peão que você mais nessa que tinha já tá melhor Já tá meio caminho andado né vamos ver o que que vai acontecer daqui para frente quando vocês viram que chegou outra Construtora tinha gente trabalhando a esperança foi renovada ou não é mais ou menos porque o que eu vi aqui que eu moro de frente chegou uma pessoa da firma só uma pessoa ele entrou ele por todo esse mato limpou tudo e ficou assim agora tá bonito ele limpou todo mato e depois chegou dois sacos de rejunte e ele ficou dentro terminou ele foi jantar lá dentro hoje chegou esses tijolos 40 tijolo responsável da construtora tava aqui quando a gente chegou e Ela explicou que é que tá acontecendo ela disse que conseguiu fazer o adiantamento do serviço naquele serviço que não precisava de água porque eles não têm ligação de água aqui ainda na obra São aguardando a Cagepa chegar para fazer essa ligação e aí eles darem segmento há muita coisa que é que deu para fazer limpar o mato concluir o rejunte lá na parte interna ainda falta alguns alunos o pessoal vai fazer isso ainda hoje também que conseguir água aqui com o vizinho E aí esses tijolos que chegaram para fazer a casinha a caixinha do relógio de água só assim que a Cagepa vai liberar a ligação depois disso aí a obra continua de,outros(obras)
você vai entender agora porque a simples falta de um muro pode causar numa escola essa cobrança de hoje é nova no calendário a gente foi até o distrito de Jenipapo aqui em Campina Grande perto de Puxinanã entendeu porque alunos da Escola Estadual de lá estão aperreados as faltas do Muro tem causado em segurança e insegurança tem causado o medo o medo tem estimulado os jovens a deixarem de estudar a situação é séria hoje é dia de calendário novo adoro cuidar daqui para atravessar a rua a gente está indo visitar a escola estadual Severino Pedro Nascimento no distrito de Jenipapo vamos ver qual é o problema dos Estudantes dos professores simbora a gente acabou de chegar e olha como os estudantes são estudantes Os estudantes receberam a gente olha o negócio aqui tá certo então segurança já você pode ser assaltado a qualquer momento aqui queremos a construção do Muro gente que que tá acontecendo aqui na escola o seguinte Laisa a gente tem aqui uma imensa né Constância de vários problemas mas de início a gente que é reivindicar a construção de um novo muro entendeu para escola porque assim de fato gera a falta de segurança né que é o que está Evidente agora escola sem muro pode não vamos ver vamos ver como é que essa situação Luciano Ferreira professor de matemática que da escola do turno da tarde e ele vai mostrar para gente um muro é aquele lá a gente tá vendo que tem muro mostra lá da minha por favor gente tá vendo lá tem até a metade e depois só cerca então isso daqui tá trazendo mais segurança essa parte aqui a principal porque quem chega de fora se o portão tiver fechado tem porteiro mas aqui não inibe a presença das pessoas de fora inclusive houve caso de assalto de b****** como é que foi o Luciano Foi numa quarta-feira à noite o salão tava assistindo aula vieram quatro bandidos de moto no final do mês passado entraram por esse lugar aqui vocês estão vendo aqui que é aberto e anunciar assalto aí dentro então fizeram arrastão mas tinha pessoas armadas da escola um colega nosso que é policial militar estava dando aula que o professor e eu lembro dessa história a gente até não disse a gente olha só vem cá simplesmente a partir desse ponto Olha é certa com arame farpado e aqui os vândalos diz fluirão qualquer pessoa entra na escola a qualquer hora o seguinte de um lado a gente tem aqui alunos professores pais de alunos clamando por mais segurança a gente viu que a escola realmente está inseguro,educacao
o calendário JPB de hoje é um daqueles que a gente acompanha um tempinho para ser mais preciso para fazer um ano em fevereiro é a falta de estrutura de uma rua essa aqui ó a Napoleão Crispim por lá a gente era uma coleção de buraco por causa das chuvas teve poste que caiu em casa correndo risco de desabar a situação feia demais agora deixa eu mostrar como é que tá Tá assim ó melhorou bastante né mas claro ainda não tá do jeito que os moradores querem e nem a gente quer então bora lá a mais uma página do calendário JPB Quem viu a Rua Napoleão Crispim há um ano e ver hoje sabe que as coisas melhoraram muito por aqui e só pediu para guardar guardar e nada é feito e a situação aqui por exemplo onde a gente vê que existe esse corte na verdade existia um coração enorme cheio de lixo o poste até caiu dentro do buraco por conta disso e aí quando a gente vai para o outro lado da rua a gente lembra que a tubulação de Geisel estava exposta por conta dos buracos também e isso até era motivo de preocupação é essa ligação da rua com essa outra rua e com outras ruas que existem mais embaixo nem existia tamanha era a buraqueira o calendário JPB pode dizer que viu o antes e depois da rua da mulher de respeito e agora quando você pode ver já dá para transitar veículos aí claro que ainda tem muitos problemas porque nascem ela é uma enorme suja muitas casas e essa chuva que deu agora no período de festa que já deu para perceber que fica aquela lama escorregadia podendo causar um acidente como você viu ali eu nem choveu muito mas já quis iniciar uma cratera via a secretaria de infraestrutura do município a pedido Claro da Defesa Civil Por que essa rua que se transformou numa área de risco fez uma obra de drenagem aqui então a rua agora tem alguns espaços para que a água possa escoar acontece que vem muita água para essa rua então a como a rua não sem calçamento acaba que acontece isso olha essas vendas começam a se formar na rua porque é justamente o caminho que a água faz apesar das muitas vitórias vocês ainda não se sentem Seguros É isso aí achando que a gente quer a solução definitiva do problema fazendo um calçamento e segundo o pessoal da Empreiteira que tava aqui ainda falta fazer o são duas ou são quatro bocas de lobo Sales justamente para conter esse resíduo Zinho de água que não consegue ser,ruas
calendário de Nova prometi calendário em dose dupla hoje o primeiro né a gente mostrou foi lá no bairro do Geisel em relação ao mercado a notícia começou ruim mas deu uma melhorada ao longo da reportagem agora eu vou trazer uma notícia boa em janeiro desse ano a gente mostrou que é infraestrutura do Conselho Tutelar Norte tava um verdadeiro caos de lá pra cá muita coisa mudou e hoje na quarta visita vai ter o carimbo de Resolvido né Isso Danilo Diga para mim mas antes da gente a gente tem que mostrar o trabalho que foi feito calendário está na mão e o serviço a gente tá almoçando agora Marcos Cardoso começa por aqui ó essa aqui é a sala da assistente social aqui a gente mostrou que o ventilador que tinha tava pendurada amarrado com a sacola plástica uma gambiarra além disso a pintura não tava desse jeito não viu nem essas lâmpadas novas tenham sido instaladas agora o ambiente está muito mais agradável para o pessoal trabalhar e até tender as pessoas que procuram serviço do Conselho Tutelar além dessa sala diversas outras foram reformadas aqui no administrativo que Cardoso invés de só uma passadinha mostrada rápida para que a gente continue caminhando e converso com pessoal aqui do Conselho logo aqui ao lado Fica a sala da psicóloga é um serviço bastante importante também que foi reformada tu não tá em horário de almoço tá comendo lá não vou fazer essa vergonha para eles não mas chega aqui Cardoso vem para cá cuidado tá cheio de cabo está todo amarrado Por que a gente vai conversar com o conselheiro que provocou o calendário que chamou a gente para cá que foi o Carlinhos tá trabalhando na sala dele que também meu amigo tá totalmente diferente aqui tem um computador de enfeite esse aí está funcionando carne Boa tarde Boa tarde Danilo boa tarde Bruno tá aí computador novo funcionando a pleno vapor a gente tá aqui agora fazendo uso do espaço com dignidade fora isso a gente tá vendo que a sala tá toda reformada aqui decorado com temas infantis desse lado de cá k a gente mostrou que a fiação tava toda exposta uma coisa de louco e esse é o único ar-condicionado que tava funcionando e ele continua carne chega com a gente não dá uma passeada por aqui para mostrar pega o carrinho aí por favor você me ajudar vocês em casa torção para cardosinho não tropeçar no bater em nada boa garoto tá bom de ré vamos seguir por aqui Carlinhos aqui a gente tá vendo que era outra sala que tinha um computador de enfeite com relação aos computadores vocês tinham um para 10 cerca de 10 funcionários agora como é que tá a situação foram fornecidas três computadores a gente computadores duas salas de atendimento na sala administrativa EA previsão é de que chegue mais dois ainda para ser utilizado na parte do serviço social quantidade de ministrador vamos chegar para cá vem com a gente ainda bem que você mandar de frente agora a casa dele é mais fácil né não vamos vir para cá para a gente continuar mostrando aqui tem um armário que tava caindo aos pedaços pessoal retirou seja uma mobília também tá renovar Toda Toda Renovada o que era sucata que foi removido e Chegaram alguns utensílios novos um negócio que a gente mostrou justamente aqui onde o Carlinhos tá mostra lá para gente nessa porta hoje em dia tem uma porta de respeito de vergonha de verdade antes era uma porta daquele tipo que,outros(obras)
hora do calendário JPB a gente está tão feliz e olha que nem é carinho de Resolvido viu deixa eu explicar em 2015 nós começamos acompanhar um caso no bairro dos Novais pais e alunos pediu uma reforma da quadra de esportes da Escola Estadual Otávio de Novais pois bem o governo do estado fez logo uma grande reforma na escola toda mas ainda faltava quadra a novidade de hoje é que a quadra não vai ser reformado derrubaram tudo e vamos fazer um ginásio novinho Melhor impossível gente Karine Tenório vai mostrar tudo para gente agora quando a gente ver esse cenário aqui fica até difícil de lembrar que nesse mesmo local já existiu uma quadra caída aos pedaços e que até ameaçava a segurança da comunidade hoje o que existe aqui é um canteiro de obra e no futuro muito próximo vai existir um um ginásio novinho para os estudantes Otávio de Novaes ao mesmo tempo o diretor já pediu várias opções de Carnes podem aparecer nesse estado aqui no Aluno por que esse problema vem sendo relatado mas assim a parte da quadra não foi esquecida o calendário JPB chegou aqui em 2015 encontrou uma quadra bem acabada que os alunos já nem podiam mais utilizar existe ainda um problema relacionado as telhas que cobriam a quadra porque elas estavam voando em direção à rua e o risco de um acidente era muito grande então assim os pais dos alunos estavam são muito preocupados a Lilian tem filho que estuda aqui e abraçou mesmo essa luta de lá para cá aconteceram muitas coisas boas nessa escola a escola foi completamente reformada é outra chega dá até gosto de ver e agora chegou o que mais a gente queria que nem a reforma da quadra agora vai ser a construção de um ginásio a pouco está muito grande da comunidade para os alunos né que vocês estão vendo o que está acontecendo aqui na nossa escola vocês vão a transformação estamos tendo a transformação da escola realmente ela está ganhando não só escola mas a comunidade eu tô imaginando aí teatro eu tô imaginando aí comemoração de Natal de Dia das Mães apresentações culturais no São João eu tô conseguindo visualizar aqui que o monte de coisa assim vai acontecer muitas coisas boas acredito que sim essa história andou andou demais então o carimbo hoje aqui é em andamento mas só aquele gostinho de vitória né ele sim com certeza tá acontecendo E aí,educacao
o filho na hora certa meio-dia 31 minutinhos calendário de hoje tá bom viu não é resolvido ainda mas tá muito perto eu tô falando da creche lá nos bancários os moradores esperam há mais de 3 anos pelo fim da obra e agora tá bem mais perto que longe e Plínio Almeida foi até lá conferir Cecília tem 2 anos de idade Hoje ela veio conhecer o crei Arthur antônio Belarmino Ferreira aqui nos bancários que há um ano e meio ela já poderia estar usando toda essa estrutura porque a primeira Promessa é que essa creche ficaria pronta em 2014 estamos em 2017 e só agora a Cristina mãe dela pode trazer o esperança de que tá pertinho de ficar pronta né nunca morreu e ela tem dois anos e dois meses né eu deixo ela nasceu eu não consigo eu terminei o resguardo não consigo emprego porque não tenho que colocar nada porque eu só posso começar a trabalhar realmente depois que tiver lá com ela deixa ela né com segurança aqui perto que a gente tá vendo aqui né a coisa tá bem adiantada muita coisa já pronta as salas material Aqui começa a chegar que vai ser utilizado mesas Os eletrodomésticos Ana aí você já começa a ficar mais animado com certeza porque tomou a gente já falou né desde 2013 que começar a construção era para ser inaugurada em 2014 para 2016 e até que enfim Graças a vocês e JPB que veio aqui e eu dou as coisas aqui da construção da creche o Gabriel tá ali ó já aproveitando o parquinho Já tás familiarizando exatamente lá fora calçada sendo finalizada aqui tem vidro sendo colocado na janela são alguns detalhes que estão faltando vou pensar aqui com o medo Victor querem da prefeitura E aí Quantos por cento a gente poderia dizer que estão Pronto 99% né faltando pequenos detalhes Como acabou de informar as Esquadrias da calçada a caixa d'água falta conclusão ainda da parte hidráulica e elétrica e finalizamos a obra já tá chegando também esse material todo mobiliado já tá chegando o pessoal tá organizando para nós salas para poder inauguração ser Provavelmente depois da semana santa do Rio de Janeiro se mudou a pouquíssimo tempo aqui para João Pessoa e para ela poder trabalhar ela tem que encontrar um lugar com uma creche para deixar a Laurinha e Helena não é isso então você tá esperando também demais isso é bastante porque para poder a vida caminhar é necessário que estejam na escola e a gente possa trabalhar né Fica bem complicado e pelo que eu percebo aqui as obras da Lei avançadas já tá praticamente dentro Dourado acredito que vai inaugurar logo para gente resolver essa questão né Dá Uma tranquilidade muito grande muito grande porque você tem certeza que vai estar em segurança no ambiente saudável e eu vou estar tranquila para trabalhar na Secretaria de Educação de João Pessoa a obra deve terminar nos próximos dias mas a inauguração deve ser apenas após a Semana Santa em uma data ainda não,outros(obras)
