favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,coordinates
2,Twitter for Android,b'@gilmarmendes Qual o sentimento do ministro ao ver praticamente todas as respostas criticando-o??\nVc se sente um li\xe2\x80\xa6 https://t.co/hgKL8uKrPD',gilmarmendes,False,Sat Apr 06 15:40:33 +0000 2019,1,1114553488657268736,
2,Twitter for iPhone,"b'Gostaria que colocassem c\xc3\xa2meras espalhadas por todas as cidades e fossem multadas as pessoas que jogam lixo, chicle\xe2\x80\xa6 https://t.co/CPETPc3eMw'",,False,Sat Jun 01 20:55:53 +0000 2019,0,1134926562967609344,
4,Twitter for iPhone,b'netflix/disney merecem td respeito sinceramente. \n\xc3\xa0s vezes fico triste d imaginar q tem gnt q se comove mto mais c\xe2\x80\xa6 https://t.co/YdnCmejAyw',,False,Sun Jun 02 23:49:02 +0000 2019,0,1135332525923082240,
8,G1 Pará,"b""Lixo come\xc3\xa7a a se acumular nas ruas de Bel\xc3\xa9m devido a protesto de 'vizinhos' do Aterro Sanit\xc3\xa1rio de Marituba https://t.co/fcqPDw0nQO""",,False,Sat Jun 01 20:50:17 +0000 2019,4,1134925154683932674,
0,Twitter for Android,"b'Mesmo ligando no atendimento na prefeitura n\xc3\xa3o nos informaram. Alias, mandaram ligar na Ouvidoria.\nOnde ningu\xc3\xa9m nos\xe2\x80\xa6 https://t.co/U0VSjk6Jjc'",ACosiski,False,Tue Jun 04 10:35:01 +0000 2019,0,1135857482520305664,
0,Twitter for Android,b'o pessoal tinha que se conscientizar e parar de jogar lixo nas ruas n\xc3\xa9...',,False,Sat Apr 06 18:26:53 +0000 2019,1,1114595348557762560,
3,Twitter for iPhone,"b'A popula\xc3\xa7\xc3\xa3o de Marituba tem todo direito de reclamar, ser contra o aterro no munic\xc3\xadpio. A gente, na capital, j\xc3\xa1 n\xc3\xa3o\xe2\x80\xa6 https://t.co/mhIC8pKmCt'",,False,Mon Jun 03 15:39:43 +0000 2019,0,1135571772051468288,
6,Twitter for Android,b'Os mesmos cuidados com a faxina em casa tamb\xc3\xa9m s\xc3\xa3o v\xc3\xa1lidos para manter as ruas limpas. N\xc3\xa3o jogar copos descart\xc3\xa1veis\xe2\x80\xa6 https://t.co/FW5mzgCKsO',NatalPrefeitura,False,Sat Apr 06 15:58:59 +0000 2019,2,1114558125036711936,
0,Twitter for Android,"b'@NaBocaDo_Povo Pris\xc3\xa3o perp\xc3\xa9tua!\nSeus roubos de dinheiro p\xc3\xbablico q deveriam ser usados na sa\xc3\xbade,  a melhoria de BRs\xe2\x80\xa6 https://t.co/A6m3b62u09'",NaBocaDo_Povo,False,Mon Jun 03 10:30:12 +0000 2019,0,1135493880030400512,
0,Twitter Web Client,"b'@brasil_lyna Safados! Corja. Dias deles contados...Neg\xc3\xb3cio \xc3\xa9 pegar um a um nas ruas e jogar no primeiro lat\xc3\xa3o de lixo, pr\xc3\xb3ximo.'",brasil_lyna,False,Tue Jun 04 00:18:18 +0000 2019,0,1135702281683394560,
0,Twitter for iPhone,b'@Moysestw @mariadorosario @albertocalmeida Centenas de milhares de pessoas nas ruas do Brasil \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 em manifesta\xc3\xa7\xc3\xb5es 3\xe2\x80\xa6 https://t.co/Ujb75vElDT',Moysestw,False,Sun Jun 02 13:05:14 +0000 2019,0,1135170510260645889,
0,Twitter for Android,b'@JL1edicao @TVLiberal Se todos jogarem seu lixo no dia certo n\xc3\xa3o teremos tanto lixo nas ruas.',JL1edicao,False,Mon Jun 03 17:39:37 +0000 2019,0,1135601947745181704,
0,Twitter for Android,"b'@g1sptv Bom dia. \xc3\x89 inacredit\xc3\xa1vel nos dias de hoje ainda as pessoas jogarem tanto lixo/entulho nas cal\xc3\xa7adas, ruas co\xe2\x80\xa6 https://t.co/aEt3HCWVcT'",g1sptv,False,Tue Jun 04 09:49:11 +0000 2019,0,1135845948096225280,
0,Facebook,"b'Com lixo espalhado nas ruas, moradores j\xc3\xa1 temem o caos https://t.co/1Erpj1JLir'",,False,Sat Jun 01 17:02:55 +0000 2019,0,1134867938316562435,
5,Twitter for iPhone,"b'Enquanto o lixo nas ruas de Bel\xc3\xa9m estava no centro dos holofotes, Zenaldo aproveitou pra aumentar a passagem de \xc3\xb4ni\xe2\x80\xa6 https://t.co/LVprxx9d4d'",,False,Tue Jun 04 01:01:11 +0000 2019,3,1135713072608403458,
4,Twitter for iPhone,"b'\xe2\x80\x9cNo fim de mar\xc3\xa7o, esta rep\xc3\xb3rter foi levar um saco de lixo a um \xe2\x80\x9cbasurero\xe2\x80\x9d, lix\xc3\xa3o que h\xc3\xa1 nas ruas de Buenos Aires. A\xe2\x80\xa6 https://t.co/1cHmLMR1vn'",,False,Sat Apr 06 13:59:39 +0000 2019,0,1114528094763851777,
0,Twitter for iPhone,"b'Pessoal, passando s\xc3\xb3 pra lembrar 4 coisas muito importantes:\n\n1. Tchutchuca \xc3\xa9 m\xc3\xa3e;\n2. Lula t\xc3\xa1 preso;\n3. Globo \xc3\xa9 lix\xe2\x80\xa6 https://t.co/Mz7YLtVQ68'",,False,Sat Apr 06 11:05:53 +0000 2019,0,1114484366120562688,
2,CadaMinuto,b'Lixo nas ruas: novo C\xc3\xb3digo de Limpeza de Macei\xc3\xb3 refor\xc3\xa7a multas e outras puni\xc3\xa7\xc3\xb5es #cadaminuto https://t.co/OQPfSPLwLE',,False,Sun Jun 02 11:01:56 +0000 2019,1,1135139479319187457,
1,Twitter for iPhone,"b'Pra exigir algo de algu\xc3\xa9m, temos que dar o exemplo. O povo joga lixo nas ruas, avan\xc3\xa7a sinal vermelho , corta pelo a\xe2\x80\xa6 https://t.co/MXPZm98uNd'",,False,Sat Jun 01 17:35:05 +0000 2019,0,1134876032375369728,
0,Twitter for iPhone,b'@prefsp N\xc3\xa3o vejo esta companha nas ruas.\nN\xc3\xa3o vejo recrutamento de facilitadores e volunt\xc3\xa1rios.\nN\xc3\xa3o vejo recolhiment\xe2\x80\xa6 https://t.co/w8gu1tkQ5S',prefsp,False,Mon Jun 03 15:47:01 +0000 2019,0,1135573612130394112,
2,Twitter for Android,"b'@SGOurgente Segundo o jornal o grobo lixo ele \xc3\xa9 menor e j\xc3\xa1 tem 6 passagens pela pol\xc3\xadcia. Logo, estar\xc3\xa1 nas ruas outr\xe2\x80\xa6 https://t.co/FxdgFsSpym'",SGOurgente,False,Sat Apr 06 19:21:40 +0000 2019,0,1114609131749617667,
0,Twitter for Android,b'#VCnoBDP O lixo aqui aqui na cidade nova est\xc3\xa1 totalmente acumulado nas portas das casas e ruas al\xc3\xb4 prefeitura de An\xe2\x80\xa6 https://t.co/FnAyWgvpqO',,False,Mon Jun 03 09:49:13 +0000 2019,0,1135483567407022081,
0,Twitter for iPhone,b'@umcaraaew1 Povo de Cambori\xc3\xba ou Balne\xc3\xa1rio Cambori\xc3\xba? Note que s\xc3\xa3o dois munic\xc3\xadpios distintos!\nAcredito que o povo de\xe2\x80\xa6 https://t.co/yRphpfVyjd',umcaraaew1,False,Sat Jun 01 20:03:40 +0000 2019,0,1134913421529559042,
0,Twitter for iPhone,b'@lainicris @gleisi Centenas de milhares de pessoas nas ruas e pra\xc3\xa7a e nenhum lixo no ch\xc3\xa3o! Temos ideologia pq os in\xe2\x80\xa6 https://t.co/aUBHnPu26M',lainicris,False,Sun Jun 02 23:59:49 +0000 2019,0,1135335238857400322,
0,Facebook,b'Lixo nas ruas: novo C\xc3\xb3digo de Limpeza de Macei\xc3\xb3 refor\xc3\xa7a multas e outras puni\xc3\xa7\xc3\xb5es - Macei\xc3\xb3 https://t.co/s7INugaP7H',,False,Sun Jun 02 18:40:28 +0000 2019,0,1135254873249894400,
0,Facebook,b'Bel\xc3\xa9m: Lixo nas ruas e aumento abusivo da tarifa de transporte - Portal do ED https://t.co/XqZ1iBR51U',,False,Tue Jun 04 05:25:06 +0000 2019,0,1135779489156407296,
0,Twitter for Android,"b'#SP1 Lixo nas ruas, est\xc3\xa1 na hora de cobrar a responsabilidade destes cidad\xc3\xa3os imundos. Sem a participa\xc3\xa7\xc3\xa3o do povo, n\xc3\xa3o tem o que d\xc3\xa1 jeito'",,False,Tue Jun 04 10:48:59 +0000 2019,0,1135860994910183424,
0,Twitter for Android,"b'@PauloMartins10 Essa Globo \xc3\xa9 um lixo. Emissora de gente filha da puta. Uns \xc3\xa2ncoras safados,  adoradores de bandidos\xe2\x80\xa6 https://t.co/Qcv64AGuq6'",PauloMartins10,False,Sun Jun 02 15:15:21 +0000 2019,0,1135203255447904256,
71,Twitter Web App,"b'@DeputadoFederal @DCM_online Seu lixo vermelho,desde qndo vc viu uma multid\xc3\xa3o de milh\xc3\xb5es nas Ruas em Defesa de um p\xe2\x80\xa6 https://t.co/qkLNSFWcSq'",DeputadoFederal,False,Sat Jun 01 20:18:44 +0000 2019,19,1134917216321908736,
0,Facebook,b'Multa para quem jogar lixo nas ruas de Jo\xc3\xa3o Pessoa \xc3\xa9 aprovada na C\xc3\xa2mara Municipal https://t.co/49rPWUbKsY',,False,Sun Jun 02 13:04:35 +0000 2019,0,1135170345583947777,
0,Twitter for Android,"b'#VcnoJL1 esse dever \xc3\xa9 de todos ! a conscientiza\xc3\xa7\xc3\xa3o da popula\xc3\xa7\xc3\xa3o e a limpeza da prefeitura ,n\xc3\xa3o adianta jogar a culp\xe2\x80\xa6 https://t.co/0cmDOCxT6s'",,False,Mon Jun 03 15:39:45 +0000 2019,0,1135571781685796864,
0,Twitter Web App,b'Vai ser um desastre em Bel\xc3\xa9m se tiver uma chuva forte porque tem mto mto mto mto lixo nas ruas',,False,Tue Jun 04 12:02:14 +0000 2019,0,1135879429480230912,
4,Twitter for Android,b'A voz do leitor do @jc_pe \xc3\xa9 um alento ante a inefici\xc3\xaancia da @prefrecife e do pref. @GeraldoJulioPSB. A rua Gal Ame\xe2\x80\xa6 https://t.co/ccz4Xlx3WO',,False,Sat Apr 06 13:17:21 +0000 2019,0,1114517449234440193,
0,Twitter for Android,"b'@zenaldoprefeito al\xc3\xb4 prefeito vamos acordar , Bel\xc3\xa9m t\xc3\xa1 s\xc3\xb3 buracos , o lixo n\xc3\xa3o \xc3\xa9 recolhido direito , o tr\xc3\xa2nsito da\xe2\x80\xa6 https://t.co/1ojj2oON24'",zenaldoprefeito,False,Tue Jun 04 10:34:28 +0000 2019,0,1135857345106518018,
8,Twitter for iPhone,"b'Esse bigode \xc3\xa9 um exemplo deses homens lixos, que s\xc3\xa3o ferrados, Tratam as pessoas nas ruas bem, e dentro de casa tra\xe2\x80\xa6 https://t.co/CKvwvNH06b'",,False,Sat Apr 06 21:12:47 +0000 2019,2,1114637094771621889,
0,Facebook,b'Multa para quem jogar lixo nas ruas de Jo\xc3\xa3o Pessoa \xc3\xa9 aprovada na C\xc3\xa2mara Municipal https://t.co/nMefA31rFH',,False,Mon Jun 03 09:34:56 +0000 2019,0,1135479971537928192,
0,Twitter Web App,b'Chuva em #sp ... Povo continua jogando lixo nas ruas e reclamando....',,False,Sat Apr 06 23:43:04 +0000 2019,0,1114674918849961984,
0,Twitter for Android,b'#VCnoBDP Marambaia sem \xc3\xa1gua desde sexta-feira e muito lixo nas ruas',,False,Mon Jun 03 10:15:42 +0000 2019,0,1135490233028489216,
1,Twitter for iPhone,b'Gostaria que os angolanos vissem e se conscientizassem sobre lixo nas ruas e principalmente no mar. Al\xc3\xa9m de desejar\xe2\x80\xa6 https://t.co/m4u47jpIz8',,False,Sat Apr 06 19:23:13 +0000 2019,0,1114609522457358336,
0,Twitter Web App,"b'@moacirbmn @prefeiturabelem \xc3\x89 verdade. Se tivessemos isso nas ruas dos bairros ou ao menos em pontos estrat\xc3\xa9gicos,\xe2\x80\xa6 https://t.co/q81iztlzvg'",moacirbmn,False,Sun Jun 02 16:32:38 +0000 2019,0,1135222704037158912,
0,Facebook,b'Multa para quem jogar lixo nas ruas de Jo\xc3\xa3o Pessoa \xc3\xa9 aprovada na C\xc3\xa2mara Municipal https://t.co/GEKNqB2N0z',,False,Sat Jun 01 16:15:41 +0000 2019,0,1134856051575201793,
1,Twitter for Android,"b'@MidiaNINJA Fa\xc3\xa7am um esfor\xc3\xa7o, tentem jogar o lixo nas lixeiras! N\xc3\xa3o \xc3\xa9 algo t\xc3\xa3o complexo a ponto de deixarem tonelad\xe2\x80\xa6 https://t.co/vW6NJA5IPR'",MidiaNINJA,False,Sat Jun 01 14:29:21 +0000 2019,0,1134829288346279936,
28,Twitter for iPhone,b'Zenaldo n\xc3\xa3o tem jeito . At\xc3\xa9 o H\xc3\xa9lio Gueiros foi invocado e culpado pelo lixo nas ruas de Bel\xc3\xa9m. https://t.co/HmAkcNXIvd',,False,Mon Jun 03 20:27:21 +0000 2019,5,1135644158675300352,
0,Facebook,b'Multa para quem jogar lixo nas ruas de Jo\xc3\xa3o Pessoa \xc3\xa9 aprovada na C\xc3\xa2mara Municipal https://t.co/AASpVA2IX1',,False,Mon Jun 03 09:01:01 +0000 2019,0,1135471439321210882,
0,Twitter for Android,"b'Criticam o clima insuport\xc3\xa1vel, mas n\xc3\xa3o se tocam que eles pr\xc3\xb3prios s\xc3\xa3o os culpados. Nas cidades s\xc3\xb3 querem acabar com\xe2\x80\xa6 https://t.co/Mg7icpo5NJ'",Ahgaseti,False,Sat Apr 06 16:32:59 +0000 2019,0,1114566683727937538,
0,Twitter for Android,b'#bdp Marambaia sem \xc3\xa1gua desde sexta-feira e muito lixo nas ruas',,False,Mon Jun 03 09:48:34 +0000 2019,0,1135483402449276928,
23,Twitter for iPhone,b'@belemtransito Homologado no dia em que a cidade ficou sem coleta de lixo por culpa dele. N\xc3\xa3o basta ter lixo nas ru\xe2\x80\xa6 https://t.co/ldbRerSOKJ',belemtransito,False,Tue Jun 04 01:40:48 +0000 2019,1,1135723040753557504,
22,Twitter Web Client,b'O rep\xc3\xb3rter Guilherme Mendes est\xc3\xa1 nas ruas de Bel\xc3\xa9m para mostrar locais onde a coleta de lixo ainda n\xc3\xa3o foi normaliz\xe2\x80\xa6 https://t.co/q0bw90zyiz',,False,Mon Jun 03 14:58:25 +0000 2019,1,1135561380516564992,
0,Twitter for Android,b'A nossa Bel\xc3\xa9m  abandonada em quase todos os sentidos e com o agravante do lixo absurdo nas ruas\n Revoltante. Vcnojl2',,False,Mon Jun 03 21:45:00 +0000 2019,0,1135663700961058816,
39,Twitter for iPhone,b'Neste s\xc3\xa1bado de manh\xc3\xa3 estamos fazendo o recolhimento de lixo nas ruas. Lixo este que causa in\xc3\xbameros transtornos par\xe2\x80\xa6 https://t.co/k6yWsEjvFP',,False,Sat Jun 01 13:41:47 +0000 2019,6,1134817318364753920,
0,Twitter for Android,"b'@tabataamaralsp @felipeneto Tem que estudar em vez de fazer bagun\xc3\xa7ans ruas, vc ja observou o tato de lixo que fica\xe2\x80\xa6 https://t.co/AARU8bXkMz'",tabataamaralsp,False,Sat Jun 01 02:50:38 +0000 2019,0,1134653452813000704,
0,Facebook,b'Bel\xc3\xa9m: Lixo nas ruas e aumento abusivo da tarifa de transporte - Portal do ED https://t.co/pbHz7ngFsm',,False,Tue Jun 04 01:53:25 +0000 2019,0,1135726217787822080,
0,Twitter Web App,b'S\xc3\xb3 entupindo os \xc3\xb4nibus com o lixo espalhado nas ruas pra n\xc3\xa3o pagar mais um aumento de passagem no mesmo ano (!) e s\xe2\x80\xa6 https://t.co/P0kUK3Iut7',,False,Mon Jun 03 23:27:37 +0000 2019,0,1135689523906695168,
1,Twitter Web Client,"b'Pobre Bel\xc3\xa9m. Totalmente abandonada: escura, esburacada, suja e perigosa.. \n.\nCom lixo espalhado nas ruas, moradores\xe2\x80\xa6 https://t.co/PicUDJXiKs'",,False,Sat Jun 01 23:10:00 +0000 2019,1,1134960315035279360,
1,Twitter for Android,b'@alvarodias_ @Bela10727624 Todos nas ruas!!#foraSTF lixo!!\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x98\x81\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\x98\x8e',alvarodias_,False,Sat Apr 06 01:52:14 +0000 2019,1,1114345035724677120,
0,Twitter Web App,b'Queria que as pessoas se preocupassem mais em \xc3\xb1  jogar lixo nas ruas do que com a sexualidade  da Ludmila',,False,Mon Jun 03 21:16:23 +0000 2019,0,1135656497214611461,
