favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,coordinates
5,Twitter for Android,"b'Eu odeio quem joga lixo na rua, toma no cu s\xc3\xb4'",,False,Sat Feb 23 18:40:25 +0000 2019,0,1099378462719119362,
0,Twitter for Android,b'Hj tive que sair correndo igual a um lixo descabelado na rua pq meu boy foi embora da minha casa e esqueceu o celular kkkkkkkk q vergonha',,False,Tue Jan 22 00:42:04 +0000 2019,0,1087510672861212672,
0,Instagram,b'Lixo org\xc3\xa2nico tamb\xc3\xa9m \xc3\xa9 jogado na rua Leonardo Drumond... N\xc3\xa3o tem fiscaliza\xc3\xa7\xc3\xa3o https://t.co/XFcar1CnRY',,False,Sun Mar 24 19:54:59 +0000 2019,0,1109906474980048896,
0,Google,b'Gostei de um v\xc3\xaddeo @YouTube https://t.co/G6N2vJ2MB9 FAMOSA CANTANDO NA RUA! - Do Lixo ao Luxo 2 (The Sims 4)',,False,Wed Jan 16 14:47:37 +0000 2019,0,1085549137838387201,
0,Twitter for Android,"b'Tem um cara na minha frente no bus, consumindo um geladinho e jogando o pl\xc3\xa1stico na rua... mano, d\xc3\xa1 vontade de bate\xe2\x80\xa6 https://t.co/Ia7VZi4sGs'",,False,Mon Jan 21 18:58:45 +0000 2019,0,1087424277664747520,
1,Twitter for Android,b'PAREM DE JOGAR LIXO NA RUA SEUS RID\xc3\x8dCULOS \nTAO ACABANDO COM A PR\xc3\x93PRIA CASA\nE\nNAO\nTEM\nPRA\nONDE\nIR',,False,Tue Jan 15 23:31:19 +0000 2019,1,1085318541899956226,
3,Twitter for iPhone,"b'Eu falando mal dos homens dizendo que s\xc3\xa3o todos lixos// Quando eu vejo um macho de cabelo grande,skatista e com car\xe2\x80\xa6 https://t.co/oemOmX4lk9'",,False,Fri Apr 26 22:17:57 +0000 2019,1,1121901252651167745,
0,Facebook,"b'Chego do trabalho cansado, quando vejo um pipa com uma quantidade consider\xc3\xa1vel de linha no quintal, precisava por o\xe2\x80\xa6 https://t.co/5CaSwKEZAc'",,False,Thu Jan 17 21:38:17 +0000 2019,0,1086014872956096515,
0,Twitter for iPhone,b'@dudasmola @ericalouuise_ Ela vai na rua jogar o lixo e se apaixona',dudasmola,False,Wed Mar 27 23:33:46 +0000 2019,0,1111048697377366016,
2,Twitter for Android,"b'Lembrando que grande parte desses alagamento, \xc3\xa9 por causa dos lixos que alguns jogam na rua'",,False,Tue Apr 09 13:23:22 +0000 2019,0,1115606129575321603,
1,Twitter for Android,"b'Odeio ver pessoas jogando lixo na rua, da vontade de pegar o q a pessoa jogou e enfiar no cu dela'",,False,Thu Apr 11 23:49:14 +0000 2019,0,1116488407088291840,
0,Facebook,b'##Vit\xc3\xb3ria Deus \xc3\xa9 maravilhoso....\n\nUm c\xc3\xa3o encontrou este beb\xc3\xa9 num caixote do lixo e mostrou-o \xc3\xa0s pessoas que passava\xe2\x80\xa6 https://t.co/4xRwugk4Hl',,False,Tue Feb 19 16:18:39 +0000 2019,0,1097893235643559936,
1,Facebook,"b'Deve ser muito triste viver num pa\xc3\xads onde as pessoas pegam comida no lixo, pedem esmola na rua e dependem de ajuda humanit\xc3\xa1ria.'",,False,Tue Feb 26 22:39:45 +0000 2019,0,1100525857653833729,
0,Twitter for Android,b'boa tarde s\xc3\xb3 pra quem n\xc3\xa3o joga lixo na rua\npra quem joga por favor morra',,False,Thu Feb 14 18:26:11 +0000 2019,0,1096113388365770753,
0,Twitter for Android,b'Veja o que fazer quando um arrombado joga lixo na rua pelo vidro do carro https://t.co/di2UwWVWb2',,False,Fri Mar 15 21:52:42 +0000 2019,0,1106674609896783872,
0,Twitter for Android,b'@comlurbcomunica ESTAMOS COM AS DUAS LIXEIRAS CHEIAS E SEM ESPA\xc3\x87O PARA COLOCAR LIXO NA RUA DAS AMENDOEIRAS EM COSMO\xe2\x80\xa6 https://t.co/dQlGBmOwvJ',comlurbcomunica,False,Sat May 11 22:58:26 +0000 2019,0,1127347259421745153,
6,Twitter for Android,b'Virei t\xc3\xa3o ativista que hj em dia eu falo:\n\nMas vc vai usar canudo???\n\nPq vc n\xc3\xa3o compra de vidro ao inv\xc3\xa9s de pl\xc3\xa1stic\xe2\x80\xa6 https://t.co/jNVrlBbghf',,False,Wed Feb 27 23:22:35 +0000 2019,2,1100899023953805313,
0,Twitter Web App,b'@mariosabinof @silvioluiz Como um lixo de gente dessa sai na rua para fazer aquilo?!!\nDeve ser f\xc3\xa1cil para a Pol\xc3\xadcia\xe2\x80\xa6 https://t.co/8xFJZAehWX',mariosabinof,False,Wed Mar 06 23:53:05 +0000 2019,0,1103443415327522816,
8,Twitter for Android,"b'Coisa boa v\xc3\xaa a piazada aqui na rua brincando, pena que a brincadeira deles eh subi no lixo aq de casa JSNSJSNSNSNNSNSN'",,False,Sat Jan 19 20:50:26 +0000 2019,1,1086727606412685312,
0,Twitter for iPhone,"b'@deushawn eu queria baixar, masss\n1 - sou menor de idade;\n2 - Bel\xc3\xa9m \xc3\xa9 um ovo e todo mundo se conhece, medo de algu\xc3\xa9\xe2\x80\xa6 https://t.co/ya3Xt7k7o6'",joshbeauchamp_,False,Mon Jan 07 21:07:54 +0000 2019,0,1082383349883289600,
1,Twitter for Android,"b'Tenho um \xc3\xb3dio de ver os outros jogando lixo na rua,oque custa carregar seu lixo at\xc3\xa9 encontrar uma lixeira??????????\xe2\x80\xa6 https://t.co/xBPVMW0BNo'",,False,Fri May 24 21:43:30 +0000 2019,0,1132039443261603840,
0,Twitter Web Client,b'@adrielly_dinizb S\xc3\xb3 levar o lixo na rua',adrielly_dinizb,False,Sun Feb 17 22:39:16 +0000 2019,0,1097264241726418950,
5,Twitter Web Client,b'@duendexiste esse belomo ai paola\neu nao desejo nada de mal pra ninguem\nmas se eu pudesse eu quebrava esse cara FAC\xe2\x80\xa6 https://t.co/vNCnnsQnbF',duendexiste,False,Tue Jan 15 01:17:11 +0000 2019,1,1084982797507403776,
1,Twitter for Android,"b'@urubucarioca1 @Prefeitura_Rio Na P\xc3\xa7a Seca v\xc3\xa1rios vazamentos, v\xc3\xa1rias tampas de bueiros ou de servi\xc3\xa7os afundadas pel\xe2\x80\xa6 https://t.co/crBknoSVNC'",urubucarioca1,False,Thu Jan 24 16:48:18 +0000 2019,1,1088478610468540418,
3,Twitter Web Client,"b'Hoje foi dia de nem batalhar na roda, gastar onda na primeira fase com o amigo, travar chapado e depois s\xc3\xb3 gastar o\xe2\x80\xa6 https://t.co/jJMEvrRhYs'",,False,Thu Jan 24 03:05:42 +0000 2019,0,1088271597537054722,
2,Twitter for Android,"b'Eu n\xc3\xa3o jogo lixo na rua n\xc3\xa9, a\xc3\xad t\xc3\xa1, tava andando com meu lixinho  do fast food  e  umas crian\xc3\xa7as  me pararam na rua\xe2\x80\xa6 https://t.co/zfIixxYKXC'",,False,Wed Apr 03 21:12:28 +0000 2019,0,1113549851743129606,
14,Twitter Web Client,"b'Esse pa\xc3\xads que diz #Brasil\xc3\x89Bolsonaro \xc3\xa9 aquele mesmo pa\xc3\xads que n\xc3\xa3o gosta de estudar, que faltava nas aulas de hist\xc3\xb3ria\xe2\x80\xa6 https://t.co/3HMQFVXknw'",,False,Fri Apr 26 18:53:25 +0000 2019,2,1121849783277191169,
0,Twitter for Android,b'Empresa que fes cal\xc3\xa7amento na Rua Olinto \xc3\xa9 Silva n\xc3\xa3o levou o lixo que eles fizerem agora virou um grande lix\xc3\xa3o carr\xe2\x80\xa6 https://t.co/y7wlM8FkZl',,False,Wed Jan 16 12:52:32 +0000 2019,0,1085520175816953856,
0,Twitter for Android,b'@Gabrielofcx QUER MOTIVA\xc3\x87\xc3\x83O PARA VIVER..\nTENHA GRATID\xc3\x83O PELA SUA SA\xc3\x9aDE.\nSE SENTE UM LIXO?\nFAZ UMA VISITA EM UM HOSP\xe2\x80\xa6 https://t.co/bbKY6tfBAX',AfrontaJojo,False,Tue Feb 05 21:52:18 +0000 2019,0,1092903768037957639,
2,Twitter for Android,"b'A prefeitura pagou m\xc3\xb3 grana para esses artistas lixos se apresentarem na virada cultural,e escravizou os moradores\xe2\x80\xa6 https://t.co/5uzRLjpk8r'",,False,Mon May 20 08:44:27 +0000 2019,0,1130393840093990912,
1,Twitter for iPhone,b'com o meu qi muito baixo consegui chegar na rua que eu precisava ir nossa mas eu tava assim mais feliz que pinto no\xe2\x80\xa6 https://t.co/y9CYMAXba7',,False,Wed Feb 06 18:49:54 +0000 2019,0,1093220255936204800,
0,Twitter for Android,"b'@NahasGustavo Vc vive em outra realidade, quem te passa a seguran\xc3\xa7a de poder sair no port\xc3\xa3o pra por o lixo pra fora\xe2\x80\xa6 https://t.co/6xDVV8t1je'",NahasGustavo,False,Thu May 16 18:40:13 +0000 2019,0,1129094215298953219,
48,Twitter for iPhone,b'Assediar mulher na rua: sociedade lixo escrota machista \xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\nAssediar homem na rua: ikkkkkki ta td em paz minha gente https://t.co/PhI5nV385I',,False,Tue Mar 19 21:12:34 +0000 2019,11,1108114062058160131,
1,Twitter Web Client,"b'@heronthwrn @AVENAoficial eu vi a avena na rua,era o caminh\xc3\xa3o de lixo'",txrgaryeen,False,Thu Jan 03 04:24:31 +0000 2019,0,1080681285050339335,
0,Twitter for Android,"b'vc que abandona animais na rua, ainda mais se for filhote ou tiver machucada/doente ou s\xc3\xb3 por ser vira-lata, vc \xc3\xa9 u\xe2\x80\xa6 https://t.co/DuxGOaTZ3v'",,False,Sat May 25 22:03:38 +0000 2019,0,1132406899519963138,
0,Facebook,"b""- Proibido colocar lixo na rua\nEuu fico onde euuu quiser kkk'""",,False,Thu May 09 22:34:48 +0000 2019,0,1126616535143833610,
1,Twitter for iPhone,b'se vc n\xc3\xa3o sabe os dias que o caminh\xc3\xa3o de lixo passa na sua rua vc \xc3\xa9 boy simm',,False,Mon Jan 14 19:51:04 +0000 2019,0,1084900725925269505,
7,Twitter for Android,b'boa tarde vc que joga lixo na rua\nem vez de jogar na rua enfie no seu cu\n\ngrato',,False,Sat Feb 23 18:24:47 +0000 2019,4,1099374525995732993,
2,Twitter for Android,"b'Minha m\xc3\xa3e falava que era t\xc3\xa3o errado jogar lixo na rua quando era pequena, que at\xc3\xa9 hoje se eu como ou bebo algo que\xe2\x80\xa6 https://t.co/NhVQiJOQ3Y'",,False,Tue Jun 04 21:38:58 +0000 2019,0,1136024568903061504,
0,Twitter for Android,b'eu coleto tanto lixo na rua quando posso que se depender de mim os cara q recolhe o lixo fica sem emprego https://t.co/l7UCepdyoP',,False,Thu Jan 24 18:50:24 +0000 2019,0,1088509340070412288,
0,Twitter for Android,"b'Acho mt interessante essa glr ""paz e amor + vibes rave + maconha n \xc3\xa9 droga + conec\xc3\xa7\xc3\xa3o com a natureza"" que nas redes\xe2\x80\xa6 https://t.co/pMlGYKY9E9'",,False,Sun Jan 20 11:59:08 +0000 2019,0,1086956287315898368,
2,Twitter for iPhone,b'@EduardaDiazs @BoraJuIio T\xc3\xb4 indo pra um job em Olinda e t\xc3\xa1 tudo ok. S\xc3\xb3 muito lixo na rua',EduardaDiazs,False,Tue Jan 22 12:36:08 +0000 2019,0,1087690374762717184,
4,Twitter for iPhone,b'N tem um dia q eu ande na rua e n reparo na quantidade de lixo no ch\xc3\xa3o..... porra \xc3\xa9 t\xc3\xa3o f\xc3\xa1cil vc segurar seu lixinh\xe2\x80\xa6 https://t.co/a6FZPgFWdb',,False,Tue May 07 22:17:06 +0000 2019,3,1125887307620417536,
2,Twitter for Android,"b'A CULPA N\xc3\x83O \xc3\x89 DO POVO QUE JOGA LIXO NA RUA \xc3\x89 DOS FILHA DA PUTA, CURRUPTOS QUE N\xc3\x83O COLOCAM UM BUEIRO DESCENTE'",,False,Wed Apr 10 23:20:57 +0000 2019,0,1116118902579376129,
0,Twitter for Android,"b'Como assim n\xc3\xa3o pode mais lixo na rua, e o meu direito de ir e vir como fica?'",,False,Sun Apr 07 14:06:31 +0000 2019,0,1114892210745614337,
1,Twitter Web App,b'gente como cfc eh chato n\xc3\xa9 kkkkkkk a mulher t\xc3\xa1 aqui explicando q n pode jogar lixo na rua A VC JURA',,False,Tue Apr 30 23:35:26 +0000 2019,0,1123370305710432256,
1,Twitter for Android,"b'@PatoCorporation Atitudes t\xc3\xadpicas dos Bolsominions: furar sinal fechado, falsificar documentos, agredir idosos, hom\xe2\x80\xa6 https://t.co/meaHeeiLpk'",PatoCorporation,False,Wed Jan 09 01:58:03 +0000 2019,0,1082818753312772101,
1,Twitter for Android,"b'@Alanna_Navarro Todo dia, ontem, eu inventei de ir na papelaria. Foi passar raiva. O transito ruim, chuva sem parar\xe2\x80\xa6 https://t.co/0y0Jt6MTZa'",Alanna_Navarro,False,Tue Mar 26 21:27:08 +0000 2019,0,1110654442536341506,
3,Twitter Web Client,b'FELIZ 1964 BOZO VAI SER DITADURA ELE VAI MATAR OS VIADO NOSSA MANA EU METI O TREZE GOSTOSO VC VIU QUE LA NA VENEZUE\xe2\x80\xa6 https://t.co/qDGZXTBC84',,False,Wed Jan 23 21:17:45 +0000 2019,1,1088184030552576000,
3,Twitter for Android,"b'Vejam a quantidade de lixo nesse local, est\xc3\xa1 na rampa de cadeirante na Rua Capit\xc3\xa3o acacio, boassu, S\xc3\xa3o Gon\xc3\xa7alo\n\nVer\xe2\x80\xa6 https://t.co/ODePfMgKkb'",,False,Mon May 13 21:27:33 +0000 2019,0,1128049163558690817,
2,Twitter for Android,"b'Minhas m\xc3\xbasicas mudam minha forma de enxergar o mundo, quando saio na rua eu olho pras pessoas com desprezo, porque o ser humano \xc3\xa9 um lixo.'",,False,Tue Apr 16 23:40:51 +0000 2019,0,1118298237771952128,
0,Twitter for iPhone,b'@chonifeminist se eu vejo esse garoto na rua eu quebro a cara dele pra largar de lamber o p\xc3\xa9 daquele lixo t\xc3\xb3xico q \xc3\xa9 o chris brown',chonifeminist,False,Sat Apr 13 19:47:15 +0000 2019,0,1117152286600564736,
0,Twitter for iPhone,b'@RomarioOnze @alvarodias_ Maior respeito aos Garis \xc3\xa9 n\xc3\xa3o jogar lixo na rua.',RomarioOnze,False,Fri May 17 22:57:04 +0000 2019,0,1129521241776427009,
9,Twitter for Android,"b'\xc3\x89 triste ver o jornal e ver a situa\xc3\xa7\xc3\xa3o daquele rio, por conta de polui\xc3\xa7\xc3\xa3o e toneladas de peixes est\xc3\xa3o sendo mortos,\xe2\x80\xa6 https://t.co/L5o6NjIs8V'",,False,Tue Jan 22 23:06:21 +0000 2019,2,1087848974118203393,
0,Twitter for iPhone,b'eu n\xc3\xa3o jogo lixo na rua mas em compensa\xc3\xa7\xc3\xa3o minha bolsa fica lotada de lixo que eu deveria ter jogado fora e n joguei',,False,Tue Jan 29 21:25:23 +0000 2019,0,1090360280171929600,
2,Twitter for Android,b'ai gente n\xc3\xa3o tem coisa melhor do que chuva\n\nlimpa as ruas\nmolha as plantas \nlava o quintal\nrefresca o tempo\nacalma\xe2\x80\xa6 https://t.co/N62DCzrONL',,False,Fri Jan 25 18:53:42 +0000 2019,0,1088872556881416192,
0,Twitter for Android,b'@sbtjornalismo O povo s\xc3\xb3 cobrando do poder p\xc3\xbablico \xc3\xa9 f\xc3\xa1cil agora fazer sua parte que \xc3\xa9 bom n\xc3\xa3o faz joga lixo na rua',sbtjornalismo,False,Tue Mar 12 22:46:15 +0000 2019,0,1105600922057654279,
0,Twitter for iPhone,b'ACABEI DE PASSAR PELO MO\xc3\x87O DO MACDO AGORA QUANDO FUI POR O LIXO NA RUA SOCORRO QUASE BERREI',,False,Wed Jan 16 22:11:14 +0000 2019,0,1085660775950106624,
1,Twitter for Android,"b'Eu n\xc3\xa3o jogo lixo na rua ,tenho bolsa e bolso!!  Educa\xc3\xa7\xc3\xa3o ,b\xc3\xa1sico, mas n\xc3\xa3o depende da condi\xc3\xa7\xc3\xa3o financeira neste caso\xe2\x80\xa6 https://t.co/HkplLZPatv'",,False,Fri Mar 22 23:56:27 +0000 2019,0,1109242467499548672,
1,Twitter for Android,b'O meu dilema de pessoa com autoestima lixo \xc3\xa9 escolher entre sair na rua sem maquiagem ou arriscar se olhar no espel\xe2\x80\xa6 https://t.co/cVT8GwJA1E',,False,Sun Feb 03 22:29:04 +0000 2019,0,1092188247449575426,
4,Twitter for Android,b'Quem bebe na rua e deixa o lixo no ch\xc3\xa3o nem gente \xc3\xa9',,False,Mon Feb 25 23:57:05 +0000 2019,0,1100182929706242048,
0,Twitter for Android,b'Ele t\xc3\xa1 trancado em casa pq t\xc3\xa1 com o cu na m\xc3\xa3o pq todo mundo viu o lixo que ele \xc3\xa9 e t\xc3\xa1 com medo de sair na rua e apa\xe2\x80\xa6 https://t.co/LXM9eZJTeO',,False,Tue Jan 08 18:53:00 +0000 2019,0,1082711785730461699,
1,Twitter Web App,b'S\xc3\xb3 na zona que \xc3\xa9 a @prefnova_iguacu que um caminh\xc3\xa3o de coleta de lixo trava todo tr\xc3\xa2nsito da principal rua do centr\xe2\x80\xa6 https://t.co/LPXk9x61iM',,False,Tue May 14 22:37:09 +0000 2019,0,1128429065390653441,
1,Twitter for Android,"b'@LucasMazzi78 @tfbpa @UmbroBrasil @Gremio Pega o que caralho, acha que t\xc3\xb4 no Twitter pra pegar algu\xc3\xa9m o doente, edu\xe2\x80\xa6 https://t.co/McnHj8mqD6'",LucasMazzi78,False,Sun Apr 28 21:14:51 +0000 2019,0,1122610148445495296,
0,Twitter for iPhone,"b'eu toda, n\xc3\xa3o suporto ver ngm jogar lixo na rua'",,False,Sun Feb 10 18:48:22 +0000 2019,0,1094669422239903748,
2,Twitter for Android,"b'@Edgard_Piccoli Ser\xc3\xa1 bloqueado, principalmente pela foto nojenta, PQP, algu\xc3\xa9m arruma um saco de lixo e cata esses d\xe2\x80\xa6 https://t.co/mGAahBcOuu'",Edgard_Piccoli,False,Fri May 31 20:56:19 +0000 2019,0,1134564287110942720,
0,Twitter for Android,"b'Tem um cachorro aqui na rua que rasga os lixos de todo mundo por maldade, achei q ele passava fome ou coisa do tipo\xe2\x80\xa6 https://t.co/U8vANTM3w2'",,False,Sat Mar 09 16:06:34 +0000 2019,0,1104413176723066880,
0,Instagram,"b'FALA MORADOR\n\n""A prefeitura fazendo a limpeza da rua Melvin Jones, espero q os porcos n\xc3\xa3o joguem mais colch\xc3\xb5es e so\xe2\x80\xa6 https://t.co/LK7dIEEUdu'",,False,Wed May 29 10:53:56 +0000 2019,0,1133687914246881280,
3,Twitter for iPhone,b'Ah nao vei nao acredito q to me sentindo o proprio lixao da mae lucinda hj ate desviei do caminh\xc3\xa3o do lixo na rua p\xe2\x80\xa6 https://t.co/gi9SBysOWV',,False,Wed Mar 06 23:45:00 +0000 2019,0,1103441380297400320,
1,Twitter for Android,"b'fui da uns trago na rua passou uns lixeiro mo lindo, quase q eu falei OU me leva q hj eu to so o lixo rsrsrs'",,False,Wed Feb 13 20:53:14 +0000 2019,0,1095788008882745356,
